sample_id,original_idx,vistgerd_idx,vistlendi_idx,vistgerd,vistlendi
0,3260,25,7,Hraungambravist,Moslendi
1,360,40,3,Mosahraunavist,Hraunlendi
2,7681,0,0,Alaskalúpína,Aðrar landgerðir
3,6609,13,8,Fjalldrapamóavist,Mólendi
4,4045,32,3,Lynghraunavist,Hraunlendi
5,1882,20,8,Grasmóavist,Mólendi
6,6149,57,2,Snarrótarvist,Graslendi
7,973,28,7,Hélumosavist,Moslendi
8,5350,60,12,Starungsmýravist,Votlendi
9,2226,1,1,Auravist,Eyrar
10,219,25,7,Hraungambravist,Moslendi
11,1691,5,12,Brokflóavist,Votlendi
12,3014,60,12,Starungsmýravist,Votlendi
13,4556,13,8,Fjalldrapamóavist,Mólendi
14,2489,60,12,Starungsmýravist,Votlendi
15,3258,42,8,Mosamóavist,Mólendi
16,6829,6,2,Bugðupuntsvist,Graslendi
17,195,25,7,Hraungambravist,Moslendi
18,2939,42,8,Mosamóavist,Mólendi
19,5025,67,8,Víðikjarrvist,Mólendi
20,7158,60,12,Starungsmýravist,Votlendi
21,2681,60,12,Starungsmýravist,Votlendi
22,5172,10,5,Eyðimelavist,Melar og sandlendi
23,5605,53,11,Sjávarfitjungsvist,Strandlendi
24,767,69,8,Víðimóavist,Mólendi
25,5856,60,12,Starungsmýravist,Votlendi
26,3162,60,12,Starungsmýravist,Votlendi
27,747,23,12,Gulstararflóavist,Votlendi
28,6546,53,11,Sjávarfitjungsvist,Strandlendi
29,1622,6,2,Bugðupuntsvist,Graslendi
30,2577,42,8,Mosamóavist,Mólendi
31,2712,60,12,Starungsmýravist,Votlendi
32,2465,60,12,Starungsmýravist,Votlendi
33,5850,19,5,Grasmelavist,Melar og sandlendi
34,647,17,2,Grasengjavist,Graslendi
35,7093,48,12,Runnamýravist á láglendi,Votlendi
36,7348,17,2,Grasengjavist,Graslendi
37,3120,42,8,Mosamóavist,Mólendi
38,2176,41,5,Mosamelavist,Melar og sandlendi
39,4924,5,12,Brokflóavist,Votlendi
40,5870,14,8,Flagmóavist,Mólendi
41,2964,41,5,Mosamelavist,Melar og sandlendi
42,7101,48,12,Runnamýravist á láglendi,Votlendi
43,3615,63,12,Tjarnastararflóavist,Votlendi
44,295,36,2,Língresis- og vingulsvist,Graslendi
45,2631,20,8,Grasmóavist,Mólendi
46,7811,23,12,Gulstararflóavist,Votlendi
47,7764,53,11,Sjávarfitjungsvist,Strandlendi
48,1329,13,8,Fjalldrapamóavist,Mólendi
49,3507,48,12,Runnamýravist á láglendi,Votlendi
50,2693,63,12,Tjarnastararflóavist,Votlendi
51,4604,10,5,Eyðimelavist,Melar og sandlendi
52,961,45,12,Rekjuvist,Votlendi
53,5309,45,12,Rekjuvist,Votlendi
54,4271,13,8,Fjalldrapamóavist,Mólendi
55,7826,53,11,Sjávarfitjungsvist,Strandlendi
56,231,34,8,Lyngmóavist á láglendi,Mólendi
57,200,40,3,Mosahraunavist,Hraunlendi
58,2423,60,12,Starungsmýravist,Votlendi
59,6668,57,2,Snarrótarvist,Graslendi
60,4689,10,5,Eyðimelavist,Melar og sandlendi
61,5813,20,8,Grasmóavist,Mólendi
62,7915,14,8,Flagmóavist,Mólendi
63,5326,34,8,Lyngmóavist á láglendi,Mólendi
64,3114,20,8,Grasmóavist,Mólendi
65,2359,64,0,Tún og akurlendi,Aðrar landgerðir
66,706,19,5,Grasmelavist,Melar og sandlendi
67,7892,36,2,Língresis- og vingulsvist,Graslendi
68,7521,60,12,Starungsmýravist,Votlendi
69,6162,36,2,Língresis- og vingulsvist,Graslendi
70,3994,48,12,Runnamýravist á láglendi,Votlendi
71,7289,67,8,Víðikjarrvist,Mólendi
72,1188,36,2,Língresis- og vingulsvist,Graslendi
73,7344,3,2,Blómgresisvist,Graslendi
74,2243,60,12,Starungsmýravist,Votlendi
75,4922,14,8,Flagmóavist,Mólendi
76,5061,60,12,Starungsmýravist,Votlendi
77,770,60,12,Starungsmýravist,Votlendi
78,1893,34,8,Lyngmóavist á láglendi,Mólendi
79,3746,48,12,Runnamýravist á láglendi,Votlendi
80,4942,25,7,Hraungambravist,Moslendi
81,5937,36,2,Língresis- og vingulsvist,Graslendi
82,5014,10,5,Eyðimelavist,Melar og sandlendi
83,6100,19,5,Grasmelavist,Melar og sandlendi
84,2647,1,1,Auravist,Eyrar
85,6398,36,2,Língresis- og vingulsvist,Graslendi
86,4773,13,8,Fjalldrapamóavist,Mólendi
87,1368,5,12,Brokflóavist,Votlendi
88,6045,5,12,Brokflóavist,Votlendi
89,129,1,1,Auravist,Eyrar
90,2047,60,12,Starungsmýravist,Votlendi
91,667,60,12,Starungsmýravist,Votlendi
92,3059,5,12,Brokflóavist,Votlendi
93,3167,24,12,Hengistararflóavist,Votlendi
94,7898,27,4,Hveraleirsvist,Jarðhitasvæði
95,2136,25,7,Hraungambravist,Moslendi
96,4293,11,2,Finnungsvist,Graslendi
97,3451,63,12,Tjarnastararflóavist,Votlendi
98,6698,69,8,Víðimóavist,Mólendi
99,2493,19,5,Grasmelavist,Melar og sandlendi
100,2538,5,12,Brokflóavist,Votlendi
101,1256,20,8,Grasmóavist,Mólendi
102,7453,60,12,Starungsmýravist,Votlendi
103,5378,33,8,Lyngmóavist á hálendi,Mólendi
104,6941,36,2,Língresis- og vingulsvist,Graslendi
105,1614,34,8,Lyngmóavist á láglendi,Mólendi
106,688,13,8,Fjalldrapamóavist,Mólendi
107,465,40,3,Mosahraunavist,Hraunlendi
108,399,18,11,Grashólavist,Strandlendi
109,7871,41,5,Mosamelavist,Melar og sandlendi
110,6055,5,12,Brokflóavist,Votlendi
111,3544,34,8,Lyngmóavist á láglendi,Mólendi
112,1387,48,12,Runnamýravist á láglendi,Votlendi
113,4191,19,5,Grasmelavist,Melar og sandlendi
114,6670,69,8,Víðimóavist,Mólendi
115,1355,25,7,Hraungambravist,Moslendi
116,875,45,12,Rekjuvist,Votlendi
117,3236,5,12,Brokflóavist,Votlendi
118,5791,20,8,Grasmóavist,Mólendi
119,36,13,8,Fjalldrapamóavist,Mólendi
120,3702,34,8,Lyngmóavist á láglendi,Mólendi
121,4579,60,12,Starungsmýravist,Votlendi
122,2380,60,12,Starungsmýravist,Votlendi
123,6489,48,12,Runnamýravist á láglendi,Votlendi
124,2773,60,12,Starungsmýravist,Votlendi
125,2750,58,8,Starmóavist,Mólendi
126,3447,13,8,Fjalldrapamóavist,Mólendi
127,2834,5,12,Brokflóavist,Votlendi
128,7507,5,12,Brokflóavist,Votlendi
129,1732,48,12,Runnamýravist á láglendi,Votlendi
